product parent,category 1,category 2,name,base,barcode,cost_price,sale_price,manufacturer_srp,weight,manufacturer,supplier,store_sku,manufacturer_sku,supplier_sku,short_description,long_description,image_url,sub_image_url,meta_title,meta_desc,quantity,Color,Storage,Size,Zoom,Aperture,Pixel,Power Capacity
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Pink -ITP,Apple iPod shuffle 2GB,,343.2,349.2,388,0.01,Apple Asia Ltd,,107-APPIPS-MD773ZP/A,MD773ZP/A,,Apple IPOD SHUFFLE 2GB  Pink -ITP,"<div class=""short-description""><p>The incredibly small, wearable music player comes in a spectrum of colours and has a clickable control pad. And VoiceOver tells you the song title or playlist name. <span style=""color: #ffffff;"">-----</span></p></div><div class=""description""><h6>iPod shuffle. It&rsquo;s big on colour.</h6><p>Take hundreds of songs everywhere you go with the small, wearable and colourful iPod shuffle. Use the clickable control pad to easily play your music. With a simple tap of the VoiceOver button, you&rsquo;ll hear the song title, playlist name or even battery status. And because your different playlists and Genius Mixes are just a sync away, you&rsquo;ll always have the perfect music mix ready to complement your every mood.</p><h6>Key Features</h6><p>&bull; Small and wearable<br />&bull; Polished anodised aluminium design<br />&bull; Built-in clip<br />&bull; Easy-to-use control pad for playing your music, audiobooks and podcasts<br />&bull; VoiceOver button to hear the song title, playlist menu and battery status*<br />&bull; Support for multiple playlists and Genius Mixes<br />&bull; 2GB of storage&dagger;<br />&bull; Available in slate, silver, purple, pink, yellow, green and blue<br />&bull; Apple iPod shuffle USB Cable<br />&bull; Apple Earphones<br />&bull; Works with Mac and PC</p></div><p>&nbsp;</p><ul id=""product-attribute-specs-table""><li class=""cfx""><h4 class=""strong loud"">Power</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Battery Type</div><div class=""value"">Lithium Ion</div></li><li class=""cfx even""><div class=""label"">Battery Life - Audio Playback (hrs)</div><div class=""value"">15</div></li><li class=""cfx odd""><div class=""label"">Recharge Time (hrs)</div><div class=""value"">About 3 Hours</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Connections</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Connectivity</div><div class=""value"">USB</div></li><li class=""cfx even""><div class=""label"">Audio Connections</div><div class=""value"">3.5mm Stereo Jack</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Storage</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Hard Drive Size</div><div class=""value"">2GB</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">System Requirements</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Supported Operating System</div><div class=""value"">Mac OS, Mac OS X, Windows 7, Windows Vista, Windows XP</div></li><li class=""cfx even""><div class=""label"">Compatibility</div><div class=""value"">MAC, PC</div></li><li class=""cfx odd""><div class=""label"">Music Management Software</div><div class=""value"">iTunes 10 or later</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Dimensions</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Product Height (cm)</div><div class=""value"">2.9</div></li><li class=""cfx even""><div class=""label"">Product Width (cm)</div><div class=""value"">3.16</div></li><li class=""cfx odd""><div class=""label"">Product Depth (cm)</div><div class=""value"">0.87</div></li></ul></li></ul>",http://www.dropshipgs.com/images/detailed/8/Apple-iPod-shuffle-2GB-1.jpg,,Apple iPod shuffle 2GB Pink,Apple iPod shuffle 2GB Pink  at MetroSix.com,,Pink,2GB,,,,,
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Yellow -ITP,Apple iPod shuffle 2GB,,343.2,349.2,388,0.01,Apple Asia Ltd,,107-APPIPS-MD774ZP/A,MD774ZP/A,,Apple IPOD SHUFFLE 2GB  Yellow -ITP,"<div class=""short-description""><p>The incredibly small, wearable music player comes in a spectrum of colours and has a clickable control pad. And VoiceOver tells you the song title or playlist name. <span style=""color: #ffffff;"">-----</span></p></div><div class=""description""><h6>iPod shuffle. It&rsquo;s big on colour.</h6><p>Take hundreds of songs everywhere you go with the small, wearable and colourful iPod shuffle. Use the clickable control pad to easily play your music. With a simple tap of the VoiceOver button, you&rsquo;ll hear the song title, playlist name or even battery status. And because your different playlists and Genius Mixes are just a sync away, you&rsquo;ll always have the perfect music mix ready to complement your every mood.</p><h6>Key Features</h6><p>&bull; Small and wearable<br />&bull; Polished anodised aluminium design<br />&bull; Built-in clip<br />&bull; Easy-to-use control pad for playing your music, audiobooks and podcasts<br />&bull; VoiceOver button to hear the song title, playlist menu and battery status*<br />&bull; Support for multiple playlists and Genius Mixes<br />&bull; 2GB of storage&dagger;<br />&bull; Available in slate, silver, purple, pink, yellow, green and blue<br />&bull; Apple iPod shuffle USB Cable<br />&bull; Apple Earphones<br />&bull; Works with Mac and PC</p></div><p>&nbsp;</p><ul id=""product-attribute-specs-table""><li class=""cfx""><h4 class=""strong loud"">Power</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Battery Type</div><div class=""value"">Lithium Ion</div></li><li class=""cfx even""><div class=""label"">Battery Life - Audio Playback (hrs)</div><div class=""value"">15</div></li><li class=""cfx odd""><div class=""label"">Recharge Time (hrs)</div><div class=""value"">About 3 Hours</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Connections</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Connectivity</div><div class=""value"">USB</div></li><li class=""cfx even""><div class=""label"">Audio Connections</div><div class=""value"">3.5mm Stereo Jack</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Storage</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Hard Drive Size</div><div class=""value"">2GB</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">System Requirements</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Supported Operating System</div><div class=""value"">Mac OS, Mac OS X, Windows 7, Windows Vista, Windows XP</div></li><li class=""cfx even""><div class=""label"">Compatibility</div><div class=""value"">MAC, PC</div></li><li class=""cfx odd""><div class=""label"">Music Management Software</div><div class=""value"">iTunes 10 or later</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Dimensions</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Product Height (cm)</div><div class=""value"">2.9</div></li><li class=""cfx even""><div class=""label"">Product Width (cm)</div><div class=""value"">3.16</div></li><li class=""cfx odd""><div class=""label"">Product Depth (cm)</div><div class=""value"">0.87</div></li></ul></li></ul>",http://www.dropshipgs.com/images/detailed/8/Apple-iPod-shuffle-2GB-1.jpg,,Apple iPod shuffle 2GB Yellow,Apple iPod shuffle 2GB Yellow  at MetroSix.com,,Yellow,2GB,,,,,
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Blue -ITP,Apple iPod shuffle 2GB,,343.2,349.2,388,0.01,Apple Asia Ltd,,107-APPIPS-MD775ZP/A,MD775ZP/A,,Apple IPOD SHUFFLE 2GB  Blue -ITP,"<div class=""short-description""><p>The incredibly small, wearable music player comes in a spectrum of colours and has a clickable control pad. And VoiceOver tells you the song title or playlist name. <span style=""color: #ffffff;"">-----</span></p></div><div class=""description""><h6>iPod shuffle. It&rsquo;s big on colour.</h6><p>Take hundreds of songs everywhere you go with the small, wearable and colourful iPod shuffle. Use the clickable control pad to easily play your music. With a simple tap of the VoiceOver button, you&rsquo;ll hear the song title, playlist name or even battery status. And because your different playlists and Genius Mixes are just a sync away, you&rsquo;ll always have the perfect music mix ready to complement your every mood.</p><h6>Key Features</h6><p>&bull; Small and wearable<br />&bull; Polished anodised aluminium design<br />&bull; Built-in clip<br />&bull; Easy-to-use control pad for playing your music, audiobooks and podcasts<br />&bull; VoiceOver button to hear the song title, playlist menu and battery status*<br />&bull; Support for multiple playlists and Genius Mixes<br />&bull; 2GB of storage&dagger;<br />&bull; Available in slate, silver, purple, pink, yellow, green and blue<br />&bull; Apple iPod shuffle USB Cable<br />&bull; Apple Earphones<br />&bull; Works with Mac and PC</p></div><p>&nbsp;</p><ul id=""product-attribute-specs-table""><li class=""cfx""><h4 class=""strong loud"">Power</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Battery Type</div><div class=""value"">Lithium Ion</div></li><li class=""cfx even""><div class=""label"">Battery Life - Audio Playback (hrs)</div><div class=""value"">15</div></li><li class=""cfx odd""><div class=""label"">Recharge Time (hrs)</div><div class=""value"">About 3 Hours</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Connections</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Connectivity</div><div class=""value"">USB</div></li><li class=""cfx even""><div class=""label"">Audio Connections</div><div class=""value"">3.5mm Stereo Jack</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Storage</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Hard Drive Size</div><div class=""value"">2GB</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">System Requirements</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Supported Operating System</div><div class=""value"">Mac OS, Mac OS X, Windows 7, Windows Vista, Windows XP</div></li><li class=""cfx even""><div class=""label"">Compatibility</div><div class=""value"">MAC, PC</div></li><li class=""cfx odd""><div class=""label"">Music Management Software</div><div class=""value"">iTunes 10 or later</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Dimensions</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Product Height (cm)</div><div class=""value"">2.9</div></li><li class=""cfx even""><div class=""label"">Product Width (cm)</div><div class=""value"">3.16</div></li><li class=""cfx odd""><div class=""label"">Product Depth (cm)</div><div class=""value"">0.87</div></li></ul></li></ul>",http://www.dropshipgs.com/images/detailed/8/Apple-iPod-shuffle-2GB-1.jpg,,Apple iPod shuffle 2GB Blue,Apple iPod shuffle 2GB Blue  at MetroSix.com,,Blue,2GB,,,,,
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Green -ITP,Apple iPod shuffle 2GB,,343.2,349.2,388,0.01,Apple Asia Ltd,,107-APPIPS-MD776ZP/A,MD776ZP/A,,Apple IPOD SHUFFLE 2GB  Green -ITP,"<div class=""short-description""><p>The incredibly small, wearable music player comes in a spectrum of colours and has a clickable control pad. And VoiceOver tells you the song title or playlist name. <span style=""color: #ffffff;"">-----</span></p></div><div class=""description""><h6>iPod shuffle. It&rsquo;s big on colour.</h6><p>Take hundreds of songs everywhere you go with the small, wearable and colourful iPod shuffle. Use the clickable control pad to easily play your music. With a simple tap of the VoiceOver button, you&rsquo;ll hear the song title, playlist name or even battery status. And because your different playlists and Genius Mixes are just a sync away, you&rsquo;ll always have the perfect music mix ready to complement your every mood.</p><h6>Key Features</h6><p>&bull; Small and wearable<br />&bull; Polished anodised aluminium design<br />&bull; Built-in clip<br />&bull; Easy-to-use control pad for playing your music, audiobooks and podcasts<br />&bull; VoiceOver button to hear the song title, playlist menu and battery status*<br />&bull; Support for multiple playlists and Genius Mixes<br />&bull; 2GB of storage&dagger;<br />&bull; Available in slate, silver, purple, pink, yellow, green and blue<br />&bull; Apple iPod shuffle USB Cable<br />&bull; Apple Earphones<br />&bull; Works with Mac and PC</p></div><p>&nbsp;</p><ul id=""product-attribute-specs-table""><li class=""cfx""><h4 class=""strong loud"">Power</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Battery Type</div><div class=""value"">Lithium Ion</div></li><li class=""cfx even""><div class=""label"">Battery Life - Audio Playback (hrs)</div><div class=""value"">15</div></li><li class=""cfx odd""><div class=""label"">Recharge Time (hrs)</div><div class=""value"">About 3 Hours</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Connections</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Connectivity</div><div class=""value"">USB</div></li><li class=""cfx even""><div class=""label"">Audio Connections</div><div class=""value"">3.5mm Stereo Jack</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Storage</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Hard Drive Size</div><div class=""value"">2GB</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">System Requirements</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Supported Operating System</div><div class=""value"">Mac OS, Mac OS X, Windows 7, Windows Vista, Windows XP</div></li><li class=""cfx even""><div class=""label"">Compatibility</div><div class=""value"">MAC, PC</div></li><li class=""cfx odd""><div class=""label"">Music Management Software</div><div class=""value"">iTunes 10 or later</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Dimensions</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Product Height (cm)</div><div class=""value"">2.9</div></li><li class=""cfx even""><div class=""label"">Product Width (cm)</div><div class=""value"">3.16</div></li><li class=""cfx odd""><div class=""label"">Product Depth (cm)</div><div class=""value"">0.87</div></li></ul></li></ul>",http://www.dropshipgs.com/images/detailed/8/Apple-iPod-shuffle-2GB-1.jpg,,Apple iPod shuffle 2GB Green,Apple iPod shuffle 2GB Green  at MetroSix.com,,Green,2GB,,,,,
Media Player,Apple,iPod Shuffle,Apple IPOD SHUFFLE 2GB  Purple -ITP,Apple iPod shuffle 2GB,,343.2,349.2,388,0.01,Apple Asia Ltd,,107-APPIPS-MD777ZP/A,MD777ZP/A,,Apple IPOD SHUFFLE 2GB  Purple -ITP,"<div class=""short-description""><p>The incredibly small, wearable music player comes in a spectrum of colours and has a clickable control pad. And VoiceOver tells you the song title or playlist name. <span style=""color: #ffffff;"">-----</span></p></div><div class=""description""><h6>iPod shuffle. It&rsquo;s big on colour.</h6><p>Take hundreds of songs everywhere you go with the small, wearable and colourful iPod shuffle. Use the clickable control pad to easily play your music. With a simple tap of the VoiceOver button, you&rsquo;ll hear the song title, playlist name or even battery status. And because your different playlists and Genius Mixes are just a sync away, you&rsquo;ll always have the perfect music mix ready to complement your every mood.</p><h6>Key Features</h6><p>&bull; Small and wearable<br />&bull; Polished anodised aluminium design<br />&bull; Built-in clip<br />&bull; Easy-to-use control pad for playing your music, audiobooks and podcasts<br />&bull; VoiceOver button to hear the song title, playlist menu and battery status*<br />&bull; Support for multiple playlists and Genius Mixes<br />&bull; 2GB of storage&dagger;<br />&bull; Available in slate, silver, purple, pink, yellow, green and blue<br />&bull; Apple iPod shuffle USB Cable<br />&bull; Apple Earphones<br />&bull; Works with Mac and PC</p></div><p>&nbsp;</p><ul id=""product-attribute-specs-table""><li class=""cfx""><h4 class=""strong loud"">Power</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Battery Type</div><div class=""value"">Lithium Ion</div></li><li class=""cfx even""><div class=""label"">Battery Life - Audio Playback (hrs)</div><div class=""value"">15</div></li><li class=""cfx odd""><div class=""label"">Recharge Time (hrs)</div><div class=""value"">About 3 Hours</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Connections</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Connectivity</div><div class=""value"">USB</div></li><li class=""cfx even""><div class=""label"">Audio Connections</div><div class=""value"">3.5mm Stereo Jack</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Storage</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Hard Drive Size</div><div class=""value"">2GB</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">System Requirements</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Supported Operating System</div><div class=""value"">Mac OS, Mac OS X, Windows 7, Windows Vista, Windows XP</div></li><li class=""cfx even""><div class=""label"">Compatibility</div><div class=""value"">MAC, PC</div></li><li class=""cfx odd""><div class=""label"">Music Management Software</div><div class=""value"">iTunes 10 or later</div></li></ul></li><li class=""cfx""><h4 class=""strong loud"">Dimensions</h4><ul class=""product-attribute cms""><li class=""cfx odd""><div class=""label"">Product Height (cm)</div><div class=""value"">2.9</div></li><li class=""cfx even""><div class=""label"">Product Width (cm)</div><div class=""value"">3.16</div></li><li class=""cfx odd""><div class=""label"">Product Depth (cm)</div><div class=""value"">0.87</div></li></ul></li></ul>",http://www.dropshipgs.com/images/detailed/8/Apple-iPod-shuffle-2GB-1.jpg,,Apple iPod shuffle 2GB Purple,Apple iPod shuffle 2GB Purple  at MetroSix.com,,Purple,2GB,,,,,
